Graph2
Time (Seconds),Data (Meters),Data0 (Meters)
832.350037,-1.882213,-0.960031
832.400024,-1.879461,-0.955895
832.450012,-1.876796,-0.951592
832.500000,-1.874350,-0.947254
832.549927,-1.872069,-0.942784
832.599976,-1.870000,-0.938283
832.649963,-1.868074,-0.933626
832.699951,-1.866347,-0.928991
832.750000,-1.864782,-0.924204
832.799988,-1.863422,-0.919388
832.849976,-1.862227,-0.914535
832.899963,-1.861228,-0.909625
832.949951,-1.860418,-0.904701
833.000000,-1.859782,-0.899746
833.049988,-1.859321,-0.894751
833.099976,-1.859026,-0.889768
833.150024,-1.858902,-0.884750
833.200012,-1.858944,-0.879758
833.250000,-1.859147,-0.874770
833.299988,-1.859507,-0.869765
833.349976,-1.860014,-0.864812
833.400024,-1.860668,-0.859848
833.450012,-1.861462,-0.854928
833.500000,-1.862398,-0.850006
833.550049,-1.863475,-0.845105
833.599976,-1.864659,-0.840256
833.649963,-1.865942,-0.835442
833.699951,-1.867368,-0.830652
833.749939,-1.868912,-0.825902
833.799988,-1.870556,-0.821172
833.849976,-1.872304,-0.816493
833.899963,-1.874143,-0.811847
833.950012,-1.876078,-0.807235
834.000000,-1.878100,-0.802656
834.049988,-1.880214,-0.798116
834.099976,-1.882393,-0.793616
834.149963,-1.884645,-0.789152
834.200012,-1.886962,-0.784717
834.250000,-1.889335,-0.780317
834.299988,-1.891765,-0.775950
834.350037,-1.894251,-0.771616
834.400024,-1.896776,-0.767304
834.450012,-1.899345,-0.763015
834.500000,-1.901949,-0.758750
834.549927,-1.904589,-0.754502
834.599976,-1.907253,-0.750275
834.649963,-1.909944,-0.746058
834.699951,-1.912653,-0.741859
834.750000,-1.915378,-0.737665
834.799988,-1.918112,-0.733481
834.849976,-1.920853,-0.729299
834.899963,-1.923595,-0.725118
834.949951,-1.926336,-0.720936
835.000000,-1.929069,-0.716748
835.049988,-1.931792,-0.712553
835.099976,-1.934496,-0.708349
835.150024,-1.937169,-0.704130
835.200012,-1.939824,-0.699886
835.250000,-1.942453,-0.695641
835.299988,-1.945052,-0.691367
835.349976,-1.947614,-0.687069
835.400024,-1.950131,-0.682755
835.450012,-1.952607,-0.678411
835.500000,-1.955021,-0.674023
835.550049,-1.957379,-0.669622
835.599976,-1.959677,-0.665171
835.649963,-1.961907,-0.660701
835.699951,-1.964065,-0.656186
835.749939,-1.966150,-0.651644
835.799988,-1.968153,-0.647068
835.849976,-1.970076,-0.642455
835.899963,-1.971908,-0.637802
835.950012,-1.973649,-0.633116
836.000000,-1.975278,-0.628389
836.049988,-1.976793,-0.623614
836.099976,-1.978197,-0.618821
836.149963,-1.979490,-0.613990
836.200012,-1.980657,-0.609112
836.250000,-1.981687,-0.604240
836.299988,-1.982587,-0.599282
836.350037,-1.983342,-0.594354
836.400024,-1.983963,-0.589386
836.450012,-1.984436,-0.584388
836.500000,-1.984757,-0.579421
836.549927,-1.984922,-0.574397
836.599976,-1.984923,-0.569437
836.649963,-1.984759,-0.564399
836.699951,-1.984432,-0.559443
836.750000,-1.983932,-0.554442
836.799988,-1.983257,-0.549517
836.849976,-1.982400,-0.544558
836.899963,-1.981359,-0.539681
836.949951,-1.980158,-0.534811
837.000000,-1.978716,-0.530024
837.049988,-1.977112,-0.525301
837.099976,-1.975336,-0.520650
837.150024,-1.973383,-0.516020
837.200012,-1.971286,-0.511489
837.250000,-1.968947,-0.507053
837.299988,-1.966461,-0.502723
837.349976,-1.963748,-0.498498
837.400024,-1.960903,-0.494412
837.450012,-1.957858,-0.490417
837.500000,-1.954671,-0.486614
837.550049,-1.951245,-0.482893
837.599976,-1.947702,-0.479397
837.649963,-1.943950,-0.475998
837.699951,-1.940157,-0.472836
837.749939,-1.936108,-0.469808
837.799988,-1.932031,-0.466994
837.849976,-1.927780,-0.464221
837.899963,-1.923439,-0.461847
837.950012,-1.918902,-0.459620
838.000000,-1.914335,-0.457666
838.049988,-1.909640,-0.455901
838.099976,-1.904895,-0.454390
838.149963,-1.900040,-0.453077
838.200012,-1.895167,-0.452019
838.250000,-1.890247,-0.451219
838.299988,-1.885276,-0.450633
838.350037,-1.880286,-0.450301
838.400024,-1.875299,-0.450213
838.450012,-1.870313,-0.450373
838.500000,-1.865320,-0.450781
838.549927,-1.860316,-0.451442
838.599976,-1.855455,-0.452328
838.649963,-1.850547,-0.453495
838.699951,-1.845796,-0.454864
838.750000,-1.841005,-0.456523
838.799988,-1.836381,-0.458384
838.849976,-1.831837,-0.460515
838.899963,-1.827454,-0.462818
838.949951,-1.823092,-0.465390
839.000000,-1.818931,-0.468101
839.049988,-1.814883,-0.471047
839.099976,-1.810968,-0.474173
839.150024,-1.807251,-0.477554
839.200012,-1.803719,-0.481033
839.250000,-1.800319,-0.484751
839.299988,-1.797120,-0.488539
839.349976,-1.794125,-0.492471
839.400024,-1.791249,-0.496706
839.450012,-1.788649,-0.500860
839.500000,-1.786161,-0.505331
839.550049,-1.783956,-0.509749
839.599976,-1.782008,-0.514400
839.649963,-1.780210,-0.519044
839.699951,-1.778621,-0.523836
839.749939,-1.777258,-0.528588
839.799988,-1.776107,-0.533506
839.849976,-1.775181,-0.538383
839.899963,-1.774469,-0.543367
839.950012,-1.773974,-0.548308
840.000000,-1.773690,-0.553344
840.049988,-1.773623,-0.558287
840.099976,-1.773766,-0.563337
840.149963,-1.774108,-0.568273
840.200012,-1.774659,-0.573264
840.250000,-1.775406,-0.578176
840.299988,-1.776359,-0.583147
840.350037,-1.777479,-0.587981
840.400024,-1.778780,-0.592830
840.450012,-1.780264,-0.597578
840.500000,-1.781951,-0.602309
840.549927,-1.783758,-0.606925
840.599976,-1.785768,-0.611530
840.649963,-1.787650,-0.616197
840.699951,-1.789937,-0.620587
840.750000,-1.792378,-0.624956
840.799988,-1.794976,-0.629241
840.849976,-1.797762,-0.633398
840.899963,-1.800624,-0.637493
840.949951,-1.803610,-0.641463
841.000000,-1.806686,-0.645434
841.049988,-1.809874,-0.649279
841.099976,-1.813173,-0.653044
841.150024,-1.816573,-0.656719
841.200012,-1.820061,-0.660311
841.250000,-1.823622,-0.663813
841.299988,-1.827275,-0.667230
841.349976,-1.830991,-0.670572
841.400024,-1.834807,-0.673803
841.450012,-1.838669,-0.676973
841.500000,-1.842599,-0.680073
841.550049,-1.846555,-0.683087
841.599976,-1.850591,-0.686066
841.649963,-1.854675,-0.688948
841.699951,-1.858808,-0.691764
841.749939,-1.862983,-0.694526
841.799988,-1.867195,-0.697222
841.849976,-1.871430,-0.699862
841.899963,-1.875710,-0.702460
841.950012,-1.880003,-0.705011
842.000000,-1.884336,-0.707520
842.049988,-1.888676,-0.709989
842.099976,-1.893047,-0.712428
842.149963,-1.897428,-0.714832
