Graph,,
Time (Seconds),omegaMes (User unit),omegaRef (User unit)
13.5,0.987586,1
13.55,1.003869,1
13.6,1.009346,1
13.650001,1.017291,1
13.7,0.961982,1
13.75,1.004006,1
13.8,0.994242,1
13.85,1.016595,1
13.900001,1.001918,1
13.95,0.995197,1
14,0.979662,1
14.05,1.026689,1
14.1,1.01253,1
14.150001,0.9503,1
14.2,1.022158,1
14.25,0.980276,1
14.3,0.993526,1
14.35,1.019636,1
14.400001,1.008599,1
14.45,0.993628,1
14.5,0.993209,1
14.55,1.001126,1
14.6,1.002472,1
14.650001,1.005452,1
14.7,1.009736,1
14.75,0.998448,1
14.8,0.977304,1
14.85,0.985843,1
14.900001,1.052118,1
14.95,0.987382,1
15,0.998589,1
15.05,1.025798,1
15.1,0.991903,1
15.150001,0.993123,-1
15.2,-0.71914,-1
15.25,-0.969181,-1
15.3,-0.997274,-1
15.35,-1.006914,-1
15.400001,-1.038593,-1
15.45,-0.972715,-1
15.5,-0.984151,-1
15.55,-1.027605,-1
15.6,-0.988827,-1
15.650001,-0.968374,-1
15.7,-1.038748,-1
15.75,-0.963235,-1
15.8,-1.028611,-1
15.85,-0.974479,-1
15.900001,-1.035273,-1
15.95,-1.010713,-1
16,-0.936174,-1
16.049999,-1.035871,-1
16.099998,-0.995027,-1
16.15,-1.003392,-1
16.199999,-1.01911,-1
16.25,-0.956821,-1
16.299999,-1.00311,-1
16.349998,-0.987847,-1
16.4,-1.025967,-1
16.449999,-1.013563,-1
16.5,-0.988458,-1
16.549999,-1.004277,-1
16.599998,-1.000777,-1
16.65,-0.998462,-1
16.699999,-1.006881,-1
16.75,-0.996517,-1
16.799999,-0.99155,-1
16.849998,-0.991361,-1
16.9,-1.024076,-1
16.949999,-0.9795,-1
17,-1.022005,-1
17.049999,-0.984231,-1
17.099998,-1.024583,-1
17.15,-0.983867,-1
17.199999,-0.99935,-1
17.25,-1.016477,-1
17.299999,-0.999654,-1
17.349998,-0.998556,-1
17.4,-0.981275,-1
17.449999,-0.984035,-1
17.5,-1.017203,-1
17.549999,-1.004417,-1
17.599998,-0.979556,-1
17.65,-1.000171,-1
17.699999,-1.013664,-1
17.75,-0.986492,-1
17.799999,-0.995717,-1
17.849998,-1.010301,-1
17.9,-1.010412,-1
17.949999,-0.98789,-1
18,-1.020706,-1
18.049999,-0.993142,-1
18.099998,-1.008492,-1
18.15,-0.972515,-1
18.199999,-1.011682,-1
18.25,-0.994734,-1
18.299999,-0.989267,-1
18.349998,-1.025406,-1
18.4,-1.009712,-1
18.449999,-0.993081,-1
18.5,-1.00733,-1
18.549999,-0.98678,-1
18.599998,-0.991995,-1
18.65,-1.000842,-1
18.699999,-0.990546,-1
18.75,-1.043323,-1
18.799999,-0.987977,-1
18.849998,-0.984982,-1
18.9,-1.010777,-1
18.949999,-0.974584,-1
19,-1.003289,-1
19.049999,-1.007637,-1
19.099998,-1.02164,-1
19.15,-0.9913,-1
19.199999,-0.978869,-1
19.25,-1.011249,-1
19.299999,-1.012932,-1
19.349998,-0.959979,-1
19.4,-1.027984,-1
19.449999,-1.001991,-1
19.5,-0.999009,-1
19.549999,-0.993418,-1
19.599998,-0.988981,-1
19.65,-1.010877,-1
19.699999,-0.997193,-1
19.75,-1.033134,-1
19.799999,-0.994865,-1
19.849998,-0.996538,-1
19.9,-0.970724,-1
19.949999,-1.011721,-1
20,-0.997275,-1
20.049999,-1.044538,-1
20.099998,-0.966126,-1
20.15,-0.984733,-1
20.199999,-0.993201,1
20.25,0.699445,1
20.299999,0.973689,1
20.349998,0.977874,1
20.4,1.012487,1
20.449999,1.016385,1
20.5,0.999995,1
20.549999,0.961593,1
20.599998,1.013487,1
20.65,0.99676,1
20.699999,1.002928,1
20.75,1.016796,1
20.799999,1.003525,1
20.849998,0.995821,1
20.9,0.956471,1
20.949999,1.054672,1
21,0.968491,1
21.049999,1.00536,1
21.099998,0.961571,1
21.15,1.015764,1
21.199999,1.020133,1
21.25,1.009265,1
