Graph,,
Time (Seconds),omegaMes (User unit),omegaRef (User unit)
13.5,0.512978,1
13.55,0.44497,1
13.6,0.515593,1
13.650001,0.445179,1
13.7,0.498407,1
13.75,0.464642,1
13.8,0.50357,1
13.85,0.455813,1
13.900001,0.507225,1
13.95,0.466626,1
14,0.510532,1
14.05,0.469034,1
14.1,0.489888,1
14.150001,0.486552,1
14.2,0.474629,1
14.25,0.493224,1
14.3,0.49056,1
14.35,0.479099,1
14.400001,0.485946,1
14.45,0.487248,1
14.5,0.48777,1
14.55,0.492519,1
14.6,0.482586,1
14.650001,0.48625,1
14.7,0.496414,1
14.75,0.466868,1
14.8,0.494356,1
14.85,0.475048,1
14.900001,0.498593,1
14.95,0.460032,1
15,0.516914,1
15.05,0.448781,1
15.1,0.51613,1
15.150001,0.44675,-1
15.2,-1.361992,-1
15.25,0.345765,-1
15.3,-1.242367,-1
15.35,0.226629,-1
15.400001,-1.134822,-1
15.45,0.123196,-1
15.5,-1.048082,-1
15.55,0.050818,-1
15.6,-0.994287,-1
15.650001,-0.002065,-1
15.7,-0.928438,-1
15.75,-0.068128,-1
15.8,-0.863872,-1
15.85,-0.127003,-1
15.900001,-0.817935,-1
15.95,-0.16894,-1
16,-0.780792,-1
16.049999,-0.205395,-1
16.099998,-0.746392,-1
16.15,-0.225424,-1
16.199999,-0.723725,-1
16.25,-0.260605,-1
16.299999,-0.687986,-1
16.349998,-0.296,-1
16.4,-0.669966,-1
16.449999,-0.315882,-1
16.5,-0.652881,-1
16.549999,-0.326218,-1
16.599998,-0.623311,-1
16.65,-0.355493,-1
16.699999,-0.597133,-1
16.75,-0.374683,-1
16.799999,-0.588404,-1
16.849998,-0.381697,-1
16.9,-0.586595,-1
16.949999,-0.380036,-1
17,-0.582823,-1
17.049999,-0.391435,-1
17.099998,-0.569812,-1
17.15,-0.400632,-1
17.199999,-0.559132,-1
17.25,-0.41668,-1
17.299999,-0.545421,-1
17.349998,-0.426858,-1
17.4,-0.536876,-1
17.449999,-0.436555,-1
17.5,-0.521978,-1
17.549999,-0.457667,-1
17.599998,-0.506147,-1
17.65,-0.443671,-1
17.699999,-0.515417,-1
17.75,-0.458101,-1
17.799999,-0.503927,-1
17.849998,-0.467956,-1
17.9,-0.496664,-1
17.949999,-0.465296,-1
18,-0.510667,-1
18.049999,-0.463868,-1
18.099998,-0.508719,-1
18.15,-0.454611,-1
18.199999,-0.513701,-1
18.25,-0.448096,-1
18.299999,-0.506435,-1
18.349998,-0.462106,-1
18.4,-0.510098,-1
18.449999,-0.460685,-1
18.5,-0.483513,-1
18.549999,-0.457389,-1
18.599998,-0.498343,-1
18.65,-0.471592,-1
18.699999,-0.512544,-1
18.75,-0.454354,-1
18.799999,-0.504539,-1
18.849998,-0.460466,-1
18.9,-0.506195,-1
18.949999,-0.465719,-1
19,-0.488871,-1
19.049999,-0.472453,-1
19.099998,-0.496423,-1
19.15,-0.47922,-1
19.199999,-0.479169,-1
19.25,-0.486634,-1
19.299999,-0.481712,-1
19.349998,-0.487658,-1
19.4,-0.474637,-1
19.449999,-0.487319,-1
19.5,-0.483829,-1
19.549999,-0.496553,-1
19.599998,-0.472142,-1
19.65,-0.486634,-1
19.699999,-0.474651,-1
19.75,-0.496774,-1
19.799999,-0.465771,-1
19.849998,-0.50214,-1
19.9,-0.452183,-1
19.949999,-0.503545,-1
20,-0.477722,-1
20.049999,-0.492238,-1
20.099998,-0.466056,-1
20.15,-0.504805,-1
20.199999,-0.471039,1
20.25,1.361413,1
20.299999,-0.333075,1
20.349998,1.25677,1
20.4,-0.243117,1
20.449999,1.165492,1
20.5,-0.152897,1
20.549999,1.100234,1
20.599998,-0.094492,1
20.65,1.040218,1
20.699999,-0.036971,1
20.75,0.967601,1
20.799999,0.029929,1
20.849998,0.93933,1
20.9,0.05789,1
20.949999,0.875956,1
21,0.115458,1
21.049999,0.832988,1
21.099998,0.160117,1
21.15,0.806668,1
21.199999,0.185261,1
21.25,0.780036,1
21.299999,0.203055,1
21.349998,0.72343,1
21.4,0.256087,1
21.449999,0.690644,1
21.5,0.298884,1
21.549999,0.65278,1
21.599998,0.320426,1
21.65,0.640664,1
21.699999,0.336249,1
21.75,0.615184,1
21.799999,0.360135,1
21.849998,0.599215,1
21.9,0.368622,1
21.949999,0.582377,1
22,0.386238,1
22.049999,0.579092,1
22.099998,0.385904,1
22.15,0.580523,1
22.199999,0.390208,1
22.25,0.575536,1
22.299999,0.40198,1
22.349998,0.55894,1
22.4,0.407199,1
22.449999,0.558271,1
22.5,0.407172,1
22.549999,0.551734,1
22.599998,0.422839,1
22.65,0.530375,1
22.699999,0.42791,1
22.75,0.53617,1
22.799999,0.4514,1
22.849998,0.517397,1
22.9,0.459463,1
22.949999,0.506457,1
23,0.461995,1
23.049999,0.500293,1
23.099998,0.472163,1
23.15,0.50043,1
23.199999,0.466138,1
23.25,0.502294,1
23.299999,0.460843,1
23.349998,0.499486,1
23.4,0.467586,1
23.449999,0.501978,1
23.5,0.463489,1
23.549999,0.494169,1
23.599998,0.485503,1
23.65,0.495877,1
23.699999,0.477735,1
23.75,0.49962,1
23.799999,0.469348,1
23.849998,0.502327,1
23.9,0.479726,1
23.949999,0.488318,1
24,0.488518,1
24.049999,0.480488,1
24.099998,0.490662,1
24.15,0.484652,1
24.199999,0.491253,1
24.25,0.484598,1
24.299999,0.492896,1
24.349998,0.490507,1
24.4,0.491925,1
24.449999,0.484853,1
24.5,0.497518,1
24.549999,0.481769,1
24.599998,0.513118,1
24.65,0.469161,1
24.699999,0.511088,1
24.75,0.464543,1
24.799999,0.501411,1
24.849998,0.452916,1
24.9,0.521501,1
