Graph,,
Time (Seconds),omegaMes (User unit),omegaRef (User unit)
0,Null,Null
0.05,0,1
0.1,0.191823,1
0.15,0.344091,1
0.2,0.466231,1
0.25,0.581744,1
0.3,0.667278,1
0.35,0.748051,1
0.4,0.79109,1
0.45,0.82304,1
0.5,0.858069,1
0.55,0.87479,1
0.6,0.920242,1
0.65,0.903761,1
0.7,0.963291,1
0.75,0.965108,1
0.8,0.945037,1
0.85,0.961291,1
0.9,0.972967,1
0.95,0.976282,1
1,0.977511,1
1.05,0.98244,1
1.1,0.981864,1
1.15,0.980308,1
1.2,0.997619,1
1.25,0.998002,1
1.3,1.001328,1
1.35,0.995576,1
1.4,1.001979,1
1.45,1.01457,1
1.5,1.001233,1
1.55,0.94872,1
1.6,1.014786,1
1.65,1.020793,1
1.7,0.984061,1
1.75,0.989583,1
1.8,1.015631,1
1.85,1.004646,1
1.9,0.977346,1
1.95,0.996809,1
2,1.005272,1
2.05,1.017476,1
2.1,1.019527,1
2.15,0.986645,1
2.2,1.012193,1
2.25,0.995181,1
2.3,1.006927,1
2.35,1.016664,1
2.4,1.004828,1
2.45,1.013418,1
2.5,1.019141,1
2.55,0.989097,1
2.6,0.992834,1
2.65,0.994916,1
2.7,1.014822,1
2.75,1.030842,1
2.8,0.989478,1
2.85,0.958768,1
2.9,0.977035,1
2.95,0.99122,1
3,0.975904,1
3.05,0.983524,1
3.1,0.994519,1
3.15,1.018368,1
3.2,1.018799,1
3.25,1.010924,1
3.3,0.995121,1
3.35,1.014333,1
3.4,1.002909,1
3.45,1.023303,1
3.5,1.012675,1
3.55,0.982546,1
3.6,0.989688,1
3.65,1.00085,1
3.7,0.98133,1
3.75,0.998989,1
3.8,1.014175,1
3.85,1.008931,1
3.9,0.992186,1
3.95,0.99916,1
4,1.012451,1
4.05,0.980734,1
4.1,1.042553,1
4.15,1.022843,1
4.2,1.002804,1
4.25,0.994877,1
4.3,1.000477,1
4.35,0.999765,1
4.4,0.987363,1
4.45,1.008225,1
4.5,1.007643,1
4.55,1.005502,1
4.6,0.976323,1
4.65,0.976495,1
4.7,0.989602,1
4.75,0.983512,1
4.8,0.997084,1
4.85,1.028006,1
4.9,0.977867,1
4.95,0.986779,1
5,1.00668,1
